net,measure,wave,T_available_min,T_available_max,n_periods,T_valid_min,T_valid_max,reason
riehen,group,fund,0.2,4.83,34,0.72,4.83,
riehen,group,overtone,0.2,3.23,27,1.28,3.23,
riehen,group,love,0.2,4.83,34,0.6,4.83,
riehen,phase,fund,0.2,4.31,32,0.3,4.31,
riehen,phase,overtone,0.2,3.23,27,0.51,2.87,
riehen,phase,love,0.2,4.83,34,1.02,4.83,
aargau,group,fund,0.2,6.45,39,0.72,6.45,
aargau,group,overtone,0.2,4.06,31,1.92,4.06,
aargau,group,love,0.2,6.45,39,0.91,6.45,
aargau,phase,fund,0.2,6.45,39,0.3,6.45,
aargau,phase,overtone,0.2,4.06,31,0.2,4.06,
aargau,phase,love,0.2,6.09,38,0.6,6.09,
hautesorne,group,fund,0.2,8.61,44,0.6,8.61,
hautesorne,group,overtone,0.2,4.83,34,2.03,4.56,
hautesorne,group,love,0.2,8.61,44,1.02,8.61,
hautesorne,phase,fund,0.2,9.12,45,0.3,9.12,
hautesorne,phase,overtone,0.2,4.56,33,1.08,4.56,
hautesorne,phase,love,0.2,8.61,44,0.72,8.61,
